state,pect_urban,full_imm_percent,percent_elderly,more_than_4_prop,cold_chain_points_per_10000,storage_cap_lit_per_10000,density,dust_pop,confirmed,active,recovered,deceased,district,morbidity_percent
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.00674024143097166,1333076.72,12248,709,11277,0.023679417122040074,Bhandara,0.2422480620155039
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.005856502454588963,2877899.368,13099,917,11962,0.019489981785063754,Buldhana,0.2945736434108527
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.004186736409670152,2440019.344,22661,927,21363,0.033697632058287796,Chandrapur,0.35465116279069764
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.005532042449970764,2278244.472,15416,261,14809,0.031238615664845173,Dhule,0.3798449612403101
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.0016120426702502257,1191836.04,8278,344,7851,0.007012750455373406,Gadchiroli,0.34302325581395343
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.005321180595075277,1470432.072,13437,450,12838,0.01302367941712204,Gondia,0.2306201550387597
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.00569427838756587,1311017.976,4110,68,3947,0.008652094717668488,Hingoli,0.30426356589147285
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.007856452132846563,4697579.504,55497,507,53537,0.13051001821493624,Jalgaon,0.437984496124031
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.005546586221073561,2177833.096,12523,225,11965,0.0302367941712204,Jalna,0.5213178294573644
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.011037483498032474,4307904.68,48984,806,46519,0.15081967213114755,Kolhapur,0.686046511627907
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.00750613605472646,2730563.816,22906,452,21776,0.061384335154826955,Latur,0.4573643410852713
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.9999999999999998,3498314.192,286264,7725,266712,1.0,Mumbai City,0.47093023255813954
