state,District_Key,population_x,area,density,Confirmed,Active,Recovered,Deceased,Migrated_Other,population_y,No.CCE,No.CCP,CCE per lakh population,CCE per CCP,state_population,ccp_district,cce_district,cluster
Chhattisgarh,CT_Raigarh,1660913.2240000002,7068.0,234.99055234861342,20363,548,19550,265,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,27.532443325751615,71.91710342399057,2
Chhattisgarh,CT_Raipur,4517121.92,13083.0,345.2665229687381,50615,7029,42889,697,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,74.87892892946844,195.5901847280462,1
Chhattisgarh,CT_Rajnandgaon,1709722.24,8062.0,212.07172413793103,17341,1278,15902,161,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,28.341535244213997,74.03052091081238,2
Chhattisgarh,CT_Sukma,276888.0,5636.0,49.12845990063875,3687,50,3627,10,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,4.589886489807798,11.989177185852727,2
Chhattisgarh,CT_Surajpur,734231.36,6787.0,108.18201856490349,5143,440,4673,30,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,12.171125507993143,31.792023744075657,2
Chhattisgarh,CT_Surguja,467775.032,3265.0,143.26953506891272,6866,560,6232,74,0,25540196.0,1340.0,513.0,5.0,3.0,30947071.200000003,7.7541616091929235,20.254535197501983,2
Goa,GA_North Goa,909350.2320000001,1736.0,523.8192580645161,2668,1639,964,65,0,1457723.0,105.0,37.0,7.0,3.0,1620987.9760000003,20.75645167154528,58.90344393276363,2
Goa,GA_South Goa,711637.7440000001,1966.0,361.97240284842314,3511,1978,1407,126,0,1457723.0,105.0,37.0,7.0,3.0,1620987.9760000003,16.243548328454718,46.096556067236364,2
Gujarat,GJ_Ahmedabad,8015518.4,8707.0,920.5832548524176,55370,2999,50166,2205,0,60383628.0,3402.0,1585.0,6.0,2.0,73314524.73599997,173.28894526355162,371.94258156883444,1
Gujarat,GJ_Amreli,1683138.7680000002,6760.0,248.985024852071,3668,217,3419,32,0,60383628.0,3402.0,1585.0,6.0,2.0,73314524.73599997,36.38808212815203,78.10236933752252,2
Gujarat,GJ_Anand,2324386.912,2942.0,790.0703303874915,2131,65,2049,17,0,60383628.0,3402.0,1585.0,6.0,2.0,73314524.73599997,50.25134199241359,107.8580854625811,3
Gujarat,GJ_Aravalli,1169541.5520000001,3217.0,363.5503736400372,1102,73,1004,25,0,60383628.0,3402.0,1585.0,6.0,2.0,73314524.73599997,25.28453081562101,54.270015037692545,2
Gujarat,GJ_Banaskantha,3465042.04,12703.0,272.7735212154609,4409,-36,4409,36,0,60383628.0,3402.0,1585.0,6.0,2.0,73314524.73599997,74.91137197133315,160.78768924067847,3
Gujarat,GJ_Bharuch,1724514.064,6524.0,264.3338540772532,3682,139,3525,18,0,60383628.0,3402.0,1585.0,6.0,2.0,73314524.73599997,37.282582152480735,80.02229935819526,2
Gujarat,GJ_Bhavnagar,3200292.6319999998,11155.0,286.89310909905873,5620,109,5443,68,0,60383628.0,3402.0,1585.0,6.0,2.0,73314524.73599997,69.1877065286252,148.5025726248473,3
