First principal component,Second principal component,Category,district
-0.375658027727688,0.4336032386082318,high,Mahé
-0.3987680953853885,0.4833275877658453,high,Puducherry
-0.365049897393423,0.41393700076905665,high,Yanam
-0.39246491718430077,0.12439350926718763,medium,Amritsar
-0.3883917512358913,0.11632827708207905,medium,Barnala
-0.39212513279641525,0.12415746440768241,medium,Bathinda
-0.4013216936990991,0.14346310937501422,medium,Firozpur
-0.3906908459058988,0.12114604542023728,medium,Faridkot
-0.3886592844138585,0.11680691246397942,medium,Fatehgarh Sahib
-0.3921023300975385,0.12414162359790833,medium,Fazilka
-0.396901102172565,0.13395094814626451,medium,Gurdaspur
-0.3990795185385121,0.13868488245807278,medium,Hoshiarpur
-0.3923988326634501,0.12434760100301828,high,Jalandhar
-0.38718897732426255,0.11373602557344775,medium,Kapurthala
-0.392907239578869,0.12532079674312738,medium,Ludhiana
-0.39482662553874304,0.12987478518929546,medium,Mansa
-0.38840811188473784,0.11633964266330082,medium,Moga
-0.38750912212675126,0.11454399245603297,medium,Sri Muktsar Sahib
-0.3922957399085618,0.1242759834840527,high,Pathankot
-0.38662487726671535,0.11217301993464253,medium,Patiala
-0.393661082836058,0.12730839783392622,medium,Rupnagar
-0.4032886839501852,0.14717181987855624,high,Sahibzada Ajit Singh Nagar
-0.38381424272885367,0.10670710717624611,medium,Sangrur
-0.3957446161363438,0.1316836350922442,medium,Shahid Bhagat Singh Nagar
-0.38842124130903455,0.1163487635447303,low,Tarn Taran
0.13801441487757368,-0.04239461950350169,medium,Ajmer
0.13792689609022296,-0.04233382106601954,medium,Alwar
0.1381573606105633,-0.04249392249287792,medium,Bikaner
0.13815418570912302,-0.04249171692019378,low,Barmer
0.1379801622539853,-0.04237082454407782,low,Banswara
0.1378842536725864,-0.04230419779950449,medium,Bharatpur
0.13809892505226493,-0.042453327887473934,low,Baran
0.1380827238906136,-0.04244207310043204,medium,Bundi
0.13806311742184982,-0.04242845268016042,medium,Bhilwara
0.13813480937757772,-0.042478256373975655,medium,Churu
0.13812104500331374,-0.04246869439907285,medium,Chittorgarh
0.13790112639077834,-0.04231591911024475,low,Dausa
0.13795754546311634,-0.042355112882761226,medium,Dholpur
