state,District_Key,confirmed,active,recovered,deceased,migrated_other,density,urbans,full_immunes,elderlies,hh_more_than_4,cold_chain_points,storage_cap_lits,temp,covid_index,dist_index
Uttar Pradesh,UP_Kaushambi,0.005831887789141543,13,2190,0.0023679417122040073,0,966.6645661404464,39.543442417135786,53.62803680160001,13.673373621600005,2007.0762498993536,0.11637842287658792,0.11637842287658792,0.4060334831223784,0.0037161230276729898,0.2225082728865171
Uttar Pradesh,UP_Kushinagar,0.014651669636246136,67,5473,0.00546448087431694,0,1361.1698040563767,88.17501564723452,119.58121739200001,30.489250791999996,4475.431801642494,0.259503690900133,0.259503690900133,0.37295960187353633,0.008947835967655937,0.3230233089048145
Uttar Pradesh,UP_Lakhimpur Kheri,0.019421311376759835,147,7191,0.007741347905282332,0,581.5951274433153,99.38756996325928,134.78746244159998,34.366339761599995,5044.538841717681,0.2925028257238521,0.2925028257238521,0.39860067917689,0.012261611971690983,0.29961623835008633
Uttar Pradesh,UP_Lalitpur,0.008461339214932143,75,3113,0.00418943533697632,0,268.7871053780512,30.16076179103269,40.9034303648,10.4290203248,1530.8467085663065,0.08876470219688774,0.08876470219688774,0.49512674418997604,0.005953841911335923,0.1655003173702774
Uttar Pradesh,UP_Lucknow,0.199566205923984,2874,72324,0.09817850637522768,0,2018.3393829113925,113.62156896612068,154.09133119199996,39.288187092,5767.00303788878,0.3343942305667976,0.3343942305667976,0.4919595776282107,0.13997539791187544,0.3766851221017848
Uttar Pradesh,UP_Maharajganj,0.015020577746730192,20,5631,0.00819672131147541,0,1003.6588906197087,65.99926528490519,89.50690206079997,22.8212962208,3349.8742083905513,0.1942392957053825,0.1942392957053825,0.5456994697330961,0.011095922211663917,0.2757277933186873
Uttar Pradesh,UP_Mahoba,0.0037047793223079517,44,1361,0.0010018214936247723,0,342.1753284158764,21.693302778520188,29.420029432,7.501133332,1101.070370387779,0.0638445266781947,0.0638445266781947,0.27041327066160353,0.001926532520936183,0.14913717996039186
Uttar Pradesh,UP_Mainpuri,0.009628240046676033,115,3495,0.006375227686703096,0,744.2317855072464,45.74112211295617,62.033207785600005,15.8164139056,2321.6471360337914,0.13461851894321836,0.13461851894321836,0.6621384236160608,0.007834680754171963,0.22760781947848605
Uttar Pradesh,UP_Mathura,0.017087509713272057,266,6156,0.009927140255009107,0,848.0606444644466,62.94362360000662,85.3629010656,21.764713185599998,3194.781341430017,0.1852463821291392,0.1852463821291392,0.5809588653692813,0.013024212280690228,0.2640836585095658
Uttar Pradesh,UP_Mau,0.007904052494839211,55,2928,0.0034608378870673953,0,1431.4938937536483,54.60549907038868,74.054901008,18.881547607999998,2771.569534638828,0.1607068447699683,0.1607068447699683,0.4378561363714472,0.0052301667598183815,0.2687001783647389
Uttar Pradesh,UP_Meerut,0.05523156178949213,1550,19137,0.038524590163934426,0,1520.0294845360825,85.3663302705702,115.77213367200001,29.518060572,4332.873507059125,0.2512375826780759,0.2512375826780759,0.6975104254839988,0.046127792945839116,0.3240330236947853
